algorithm,program,bake,erase,position,teredyne
-1,-1,-1,-1,-1,869
-1,-1,-1,-1,0,857
-1,-1,-1,-1,1,911
-1,-1,1,1,-1,887
-1,-1,1,1,0,947
-1,-1,1,1,1,929
-1,1,-1,1,-1,869
-1,1,-1,1,0,878
-1,1,-1,1,1,797
-1,1,1,-1,-1,890
-1,1,1,-1,0,767
-1,1,1,-1,1,905
1,-1,-1,1,-1,941
1,-1,-1,1,0,950
1,-1,-1,1,1,950
1,-1,1,-1,-1,942
1,-1,1,-1,0,944
1,-1,1,-1,1,941
1,1,-1,-1,-1,929
1,1,-1,-1,0,935
1,1,-1,-1,1,890
1,1,1,1,-1,923
1,1,1,1,0,944
1,1,1,1,1,944
